央视频道,#genre#
CCTV1,http://go.bkpcp.top/mg/cctv1
CCTV2,http://go.bkpcp.top/mg/cctv2
CCTV3,http://go.bkpcp.top/mg/cctv3
CCTV4,http://go.bkpcp.top/mg/cctv4
CCTV5+,http://go.bkpcp.top/mg/cctv5p
CCTV5,http://go.bkpcp.top/mg/cctv5
CCTV6,http://go.bkpcp.top/mg/cctv6
CCTV7,http://go.bkpcp.top/mg/cctv7
CCTV8,http://go.bkpcp.top/mg/cctv8
CCTV9,http://go.bkpcp.top/mg/cctv9
CCTV10,http://go.bkpcp.top/mg/cctv10
CCTV11,http://go.bkpcp.top/mg/cctv11
CCTV12,http://go.bkpcp.top/mg/cctv12
CCTV13,http://go.bkpcp.top/mg/cctv13
CCTV14,http://go.bkpcp.top/mg/cctv14
CCTV15,http://go.bkpcp.top/mg/cctv15
CCTV16,http://69.30.246.194/live/cctv16.m3u8
CCTV17,http://go.bkpcp.top/mg/cctv17
CCTV世界地理,http://hmfs.f3322.net:3388/hls/28/index.m3u8
CCTV怀旧剧场,http://38.75.136.137:98/gslb/dsdqpub/hjjc.m3u8?auth=testpub
CCTV文化精品,http://38.75.136.137:98/gslb/dsdqpub/ysjp.m3u8?auth=testpub
CCTV第一剧场,http://38.75.136.137:98/gslb/dsdqpub/dyjc.m3u8?auth=testpub
CCTV第一剧场,http://hmfs.f3322.net:3388/hls/21/index.m3u8
CCTV第一剧场,https://epg.pw/stream/6d7bf281e3d739806a73f5373acaa6e01988ec9739f5ac1355ce54b47a928472.m3u8
CCTV风云足球,http://27.41.245.32:801/hls/906/index.m3u8
中国交通,http://drive.mxmy.net:8888/udp/239.3.1.188:8001
兵器科技,http://38.75.136.137:98/gslb/dsdqpub/gfjs.m3u8?auth=testpub
熊猫直播,https://gcwbndali.v.myalicdn.com/gcwbnd/ipanda1000_2/index.m3u8
电视指南,http://38.75.136.137:98/gslb/dsdqpub/dszn.m3u8?auth=testpub
直播中国,https://gcalic.v.myalicdn.com/gc/wgw05_1/index.m3u8?contentid=2820180516001
风云音乐,http://hmfs.f3322.net:3388/hls/29/index.m3u8
高尔夫网球,http://38.75.136.137:98/gslb/dsdqpub/gefwq.m3u8?auth=testpub

卫视频道,#genre#
浙江卫视,http://ali-xwl.cztv.com/live/channel011080Plxw.m3u8,http://go.bkpcp.top/mg/zjws
江苏卫视,http://go.bkpcp.top/mg/jsws
湖南卫视,http://cdn6.bkpcp.top/tl/tuiliu.php?id=hunws,http://hmfs.f3322.net:3388/hls/22/index.m3u8,http://go.bkpcp.top/mg/hunws
东方卫视,http://go.bkpcp.top/mg/dfws
安徽卫视,http://go.bkpcp.top/mg/ahws
深圳卫视,http://go.bkpcp.top/mg/szws,http://cdn6.bkpcp.top/tl/tuiliu.php?id=szws,http://38.75.136.137:98/gslb/dsdqpub/szwshd.m3u8?auth=testpub
北京卫视,http://go.bkpcp.top/mg/bjws
广东卫视,http://go.bkpcp.top/mg/gdws
广西卫视,http://go.bkpcp.top/mg/gxws
东南卫视,http://go.bkpcp.top/mg/dnws
海南卫视,http://go.bkpcp.top/mg/hinws
河南卫视,http://go.bkpcp.top/mg/hnws
湖北卫视,http://go.bkpcp.top/mg/hubws
江西卫视,http://go.bkpcp.top/mg/jxws
重庆卫视,http://go.bkpcp.top/mg/cqws
贵州卫视,http://go.bkpcp.top/mg/gzws
云南卫视,http://go.bkpcp.top/mg/ynws
山东卫视,http://go.bkpcp.top/mg/sdws,http://cdn6.bkpcp.top/tl/tuiliu.php?id=sdws,http://38.75.136.137:98/gslb/dsdqpub/sdwshd.m3u8?auth=testpub
辽宁卫视,http://go.bkpcp.top/mg/lnws
黑龙江卫视,http://go.bkpcp.top/mg/hljws
吉林卫视,http://go.bkpcp.top/mg/jlws
宁夏卫视,http://go.bkpcp.top/mg/nxws
陕西卫视,http://go.bkpcp.top/mg/sxws
甘肃卫视,http://go.bkpcp.top/mg/gsws
青海卫视,http://go.bkpcp.top/mg/qhws
新疆卫视,http://go.bkpcp.top/mg/xjws
西藏卫视,http://go.bkpcp.top/mg/xzws
兵团卫视,http://go.bkpcp.top/mg/btws

地方频道,#genre#
浙江钱江, http://ali-xwl.cztv.com/live/channel021080Plxw.m3u8
浙江经济, http://ali-xwl.cztv.com/live/channel031080Plxw.m3u8
浙江科教, http://ali-xwl.cztv.com/live/channel041080Plxw.m3u8
浙江民生, http://ali-xwl.cztv.com/live/channel061080Plxw.m3u8
浙江新闻, http://ali-xwl.cztv.com/live/channel071080Plxw.m3u8#http://111.170.156.74:3344/地方频道/zhejiang/zhejiang.php?id=zjxw
浙江少儿, http://ali-xwl.cztv.com/live/channel081080Plxw.m3u8
浙江国际, http://ali-xwl.cztv.com/live/channel101080Plxw.m3u8
数码时代, http://hw-m-l.cztv.com/channels/lantian/channel012/1080p.m3u8
杭州综合, http://l.cztvcloud.com/channels/lantian/sxchannel01/1080p.m3u8
杭州明珠, http://live.dxms.top/dwy/mghn.php
湖州公共民生,http://hzcm-live.media.hugd.com/1e6b554b9ab74513958c0e1ffe664d22/9acaa7634309494cb29a85eb12136607.m3u8?auth_key=2272900830-9a2389b8bf4e49d580d4ad807423d326-0-ea78a5c7a678c436263582d368f5009e
湖州文化娱乐,http://hzcm-live.media.hugd.com/613c47f0ab0d4eaa98b21378d0db6ded/0051d31c9dd543a7825eea4e49675b2a.m3u8?auth_key=2277598059-0a5ebfa1c0dc4671b42a60810fc37039-0-fa625b7d1feab612062453c12e3c8887
湖州新闻综合,http://hzcm-live.media.hugd.com/3f5fa7d64c7c46a38c6bd8ad35e836cc/65128273761b4731ae53729ea6dcf932.m3u8?auth_key=2277598215-9d21c15111244bea8d298c361d31a72e-0-d031198f58d44b0e91ba2e3f3b188865

儿童频道,#genre#
七龙珠,http://www.douzhicloud.site:35455/huya/11601966
中华小当家,http://61.221.215.25:8800/hls/40/index.m3u8
中华小当家,http://www.douzhicloud.site:35455/huya/11342413
南京少儿,http://nklive.nbs.cn/hls/e0981f3f-1a20-4a59-b8d1-17feb83a4610/index.m3u8
卡酷动画,http://218.13.170.98:9901/tsfile/live/1021_1.m3u8
卡酷动画,http://58.57.40.22:9901/tsfile/live/1060_1.m3u8
哆啦A梦,http://www.douzhicloud.site:35455/huya/11601963
广东少儿,http://gmxw.7766.org:808/hls/175/index.m3u8
武汉少儿频道,http://hzzzz530.com:4022/udp/239.69.1.6:9676
浙江少儿,http://ali-m-l.cztv.com/channels/lantian/channel008/1080p.m3u8
浙江少儿,http://ali-vl.cztv.com/channels/lantian/channel008/360p.m3u8
浙江少儿,https://ali-m-l.cztv.com/channels/lantian/channel008/1080p.m3u8
